Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,33896,-,-,-,28.65,77.25,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Snow Depth,Wind Speed,
2003,1,1,0,0,0,0,0,0,1.5,N/A
2003,1,1,1,0,0,0,0,0,1.2000000000000002,N/A
2003,1,1,2,0,0,0,0,0,1.1,N/A
2003,1,1,3,0,0,0,0,0,1.1,N/A
2003,1,1,4,0,0,0,0,0,1.3,N/A
2003,1,1,5,0,0,0,0,0,1.3,N/A
2003,1,1,6,0,0,0,0,0,1.1,N/A
2003,1,1,7,0,8,0,8,0,0.8,N/A
2003,1,1,8,0,101,314,174,0,0.7000000000000001,N/A
2003,1,1,9,0,166,470,353,0,0.9,N/A
2003,1,1,10,0,274,269,415,0,1.5,N/A
2003,1,1,11,0,243,36,265,0,1.7000000000000002,N/A
2003,1,1,12,0,311,318,509,0,1.6,N/A
2003,1,1,13,0,302,309,484,0,1.6,N/A
2003,1,1,14,0,184,50,210,0,1.5,N/A
2003,1,1,15,0,212,239,301,0,1.5,N/A
2003,1,1,16,0,76,14,79,0,1.3,N/A
2003,1,1,17,0,0,0,0,0,1.1,N/A
2003,1,1,18,0,0,0,0,0,1,N/A
2003,1,1,19,0,0,0,0,0,1,N/A
2003,1,1,20,0,0,0,0,0,1,N/A
2003,1,1,21,0,0,0,0,0,1,N/A
2003,1,1,22,0,0,0,0,0,0.9,N/A
2003,1,1,23,0,0,0,0,0,0.9,N/A
2003,1,2,0,0,0,0,0,0,0.7000000000000001,N/A
2003,1,2,1,0,0,0,0,0,0.30000000000000004,N/A
2003,1,2,2,0,0,0,0,0,0.2,N/A
2003,1,2,3,0,0,0,0,0,0.5,N/A
2003,1,2,4,0,0,0,0,0,0.7000000000000001,N/A
2003,1,2,5,0,0,0,0,0,0.8,N/A
2003,1,2,6,0,0,0,0,0,0.7000000000000001,N/A
2003,1,2,7,0,5,0,5,0,0.5,N/A
2003,1,2,8,0,107,143,141,0,0.4,N/A
2003,1,2,9,0,203,156,265,0,0.9,N/A
2003,1,2,10,0,244,35,263,0,1.4000000000000001,N/A
2003,1,2,11,0,273,36,295,0,1.5,N/A
2003,1,2,12,0,331,227,472,0,1.6,N/A
2003,1,2,13,0,187,10,193,0,1.8,N/A
2003,1,2,14,0,265,219,376,0,1.9000000000000001,N/A
2003,1,2,15,0,170,322,290,0,2,N/A
2003,1,2,16,0,93,139,122,0,1.9000000000000001,N/A
2003,1,2,17,0,0,0,0,0,1.9000000000000001,N/A
2003,1,2,18,0,0,0,0,0,1.8,N/A
2003,1,2,19,0,0,0,0,0,1.8,N/A
2003,1,2,20,0,0,0,0,0,1.6,N/A
2003,1,2,21,0,0,0,0,0,1.4000000000000001,N/A
2003,1,2,22,0,0,0,0,0,1.1,N/A
2003,1,2,23,0,0,0,0,0,0.9,N/A
2003,1,3,0,0,0,0,0,0,0.8,N/A
2003,1,3,1,0,0,0,0,0,0.9,N/A
2003,1,3,2,0,0,0,0,0,1,N/A
2003,1,3,3,0,0,0,0,0,1.1,N/A
2003,1,3,4,0,0,0,0,0,1.1,N/A
2003,1,3,5,0,0,0,0,0,1,N/A
2003,1,3,6,0,0,0,0,0,0.9,N/A
2003,1,3,7,0,7,0,7,0,0.8,N/A
2003,1,3,8,0,87,10,90,0,0.6000000000000001,N/A
2003,1,3,9,0,196,173,265,0,0.5,N/A
2003,1,3,10,0,235,472,482,0,0.30000000000000004,N/A
2003,1,3,11,0,231,538,554,0,0.2,N/A
2003,1,3,12,0,286,462,574,0,0.7000000000000001,N/A
2003,1,3,13,0,213,34,234,0,1.1,N/A
2003,1,3,14,0,264,141,336,0,1.4000000000000001,N/A
2003,1,3,15,0,180,60,203,0,1.7000000000000002,N/A
2003,1,3,16,0,96,53,107,0,2.1,N/A
2003,1,3,17,0,0,0,0,0,2.4000000000000004,N/A
2003,1,3,18,0,0,0,0,0,2.7,N/A
2003,1,3,19,0,0,0,0,0,2.9000000000000004,N/A
2003,1,3,20,0,0,0,0,0,3,N/A
2003,1,3,21,0,0,0,0,0,3.1,N/A
2003,1,3,22,0,0,0,0,0,3.3000000000000003,N/A
2003,1,3,23,0,0,0,0,0,3.4000000000000004,N/A
2003,1,4,0,0,0,0,0,0,3.5,N/A
2003,1,4,1,0,0,0,0,0,3.6,N/A
2003,1,4,2,0,0,0,0,0,3.6,N/A
2003,1,4,3,0,0,0,0,0,3.6,N/A
2003,1,4,4,0,0,0,0,0,3.6,N/A
2003,1,4,5,0,0,0,0,0,3.6,N/A
2003,1,4,6,0,0,0,0,0,3.6,N/A
2003,1,4,7,0,5,0,5,0,3.4000000000000004,N/A
2003,1,4,8,0,105,34,113,0,2.9000000000000004,N/A
2003,1,4,9,0,196,65,222,0,2.5,N/A
2003,1,4,10,0,244,23,257,0,3.1,N/A
2003,1,4,11,0,267,71,310,0,3.1,N/A
2003,1,4,12,0,297,471,591,0,3.1,N/A
2003,1,4,13,0,224,557,554,0,3.2,N/A
2003,1,4,14,0,212,470,451,0,3.3000000000000003,N/A
2003,1,4,15,0,175,283,282,0,3.2,N/A
2003,1,4,16,0,95,129,122,0,2.9000000000000004,N/A
2003,1,4,17,0,0,0,0,0,3,N/A
2003,1,4,18,0,0,0,0,0,3.1,N/A
2003,1,4,19,0,0,0,0,0,3.2,N/A
2003,1,4,20,0,0,0,0,0,3.5,N/A
2003,1,4,21,0,0,0,0,0,3.7,N/A
2003,1,4,22,0,0,0,0,0,3.7,N/A
2003,1,4,23,0,0,0,0,0,3.6,N/A
2003,1,5,0,0,0,0,0,0,3.3000000000000003,N/A
2003,1,5,1,0,0,0,0,0,3.1,N/A
2003,1,5,2,0,0,0,0,0,3,N/A
2003,1,5,3,0,0,0,0,0,2.9000000000000004,N/A
2003,1,5,4,0,0,0,0,0,3.1,N/A
2003,1,5,5,0,0,0,0,0,3.3000000000000003,N/A
2003,1,5,6,0,0,0,0,0,3.5,N/A
2003,1,5,7,0,7,0,7,0,3.3000000000000003,N/A
2003,1,5,8,0,111,178,153,0,2.6,N/A
2003,1,5,9,0,169,455,350,0,2.1,N/A
2003,1,5,10,0,187,593,498,0,2.1,N/A
2003,1,5,11,0,208,624,584,0,1.9000000000000001,N/A
2003,1,5,12,0,212,642,614,0,1.5,N/A
2003,1,5,13,0,204,630,579,0,1.5,N/A
2003,1,5,14,0,182,593,485,0,1.5,N/A
2003,1,5,15,0,180,399,332,0,1.5,N/A
2003,1,5,16,0,97,103,119,0,1.3,N/A
2003,1,5,17,0,1,0,1,0,1.1,N/A
2003,1,5,18,0,0,0,0,0,1,N/A
2003,1,5,19,0,0,0,0,0,0.7000000000000001,N/A
2003,1,5,20,0,0,0,0,0,0.4,N/A
2003,1,5,21,0,0,0,0,0,0.7000000000000001,N/A
2003,1,5,22,0,0,0,0,0,1.2000000000000002,N/A
2003,1,5,23,0,0,0,0,0,1.5,N/A
2003,1,6,0,0,0,0,0,0,1.7000000000000002,N/A
2003,1,6,1,0,0,0,0,0,1.9000000000000001,N/A
2003,1,6,2,0,0,0,0,0,2,N/A
2003,1,6,3,0,0,0,0,0,2,N/A
2003,1,6,4,0,0,0,0,0,1.8,N/A
2003,1,6,5,0,0,0,0,0,1.4000000000000001,N/A
2003,1,6,6,0,0,0,0,0,1,N/A
2003,1,6,7,0,6,0,6,0,0.6000000000000001,N/A
2003,1,6,8,0,104,61,119,0,0.2,N/A
2003,1,6,9,0,203,247,302,0,0.2,N/A
2003,1,6,10,0,258,98,310,0,0.4,N/A
